Name,Korean Name,Gender,Debut,Company,Members,Orig Memb,Active
(G)I-DLE,(여자)아이들,Female,02/05/2018,Cube,5,6,Yes
100%,백퍼센트,Male,18/09/2012,TOP Media,4,7,Yes
14U,원포유,Male,17/04/2017,BG,14,14,No
15&,피프틴앤드,Female,05/10/2012,JYP,2,2,No
1TEAM,원팀,Male,27/03/2019,LiveWorks,5,5,No
1the9,원더나인,Male,09/02/2019,MBK,9,9,Yes
24K,투포케이,Male,06/09/2012,Choeun,5,6,Yes
2AM,투에이엠,Male,21/06/2008,JYP| Big Hit,4,4,No
2EYES,투아이즈,Female,20/07/2013,SidusHQ,4,5,No
2NE1,투애니원,Female,06/05/2009,YG,4,4,No
2PM,투피엠,Male,04/07/2008,JYP,6,7,Yes
2Z,투지,Male,14/01/2020,Morph,5,5,Yes
3YE,써드아이,Female,21/05/2019,GH,3,3,Yes
4Minute,포미닛,Female,15/06/2009,Cube,5,5,No
4TEN,포텐,Female,26/08/2014,Jungle,4,4,No
8Eight,에이트,Male,06/09/2007,Big Hit,3,3,No
8TURN,에잇턴,Male,30/01/2023,MNH,8,8,Yes
9Muses,나인뮤지스,Female,12/08/2010,Star Empire,4,9,No
A.C.E,에이스,Male,23/05/2017,Beat,5,5,Yes
A.cian,에이션,Male,10/10/2012,Wings,4,5,No
A.DE,에이디이,Female,23/07/2016,2ABLE,6,7,No
A6P,에이식스피,Male,20/05/2015,DS,6,6,No
AB6IX,에이비식스,Male,22/05/2019,Brand New,4,5,Yes
ABLUE,에이블루,Male,23/10/2022,J-Star,6,6,Yes
ABRY,에이브리,Female,15/11/2017,withHC,4,4,Yes
ADYA,에이디야,Female,09/05/2023,Starting House,5,5,Yes
aespa,에스파,Female,17/11/2020,SM,4,4,Yes
After School,애프터스쿨,Female,15/01/2009,Pledis,6,5,No
AIMERS,에이머스,Male,17/11/2022,Hyper Rhythm,6,6,Yes
AiRiSu,아이리수,Female,25/07/2018,Jang,4,4,No
A-JAX,에이젝스,Male,01/06/2012,DSP,5,7,No
ALICE,앨리스,Female,01/07/2017,IOK Company,7,5,Yes
AlphaBat,알파벳,Male,14/11/2013,Simtong,5,9,Yes
ANS,에이엔에스,Female,16/09/2019,ANS,8,6,No
AOA,에이오에이,Female,30/07/2012,FNC,4,8,Yes
API,에이피아이,Female,19/04/2019,BRICKWORKS,5,5,Yes
Apink,에이핑크,Female,19/04/2011,Plan A,5,7,Yes
Apple.B,애플비,Female,01/08/2017,GH,5,5,No
April,에이프릴,Female,24/08/2015,DSP,6,6,No
AREAL,에이리얼,Female,21/08/2020,JZ Factory,4,4,No
ARGON,아르곤,Male,11/03/2019,MSH,6,6,Yes
Ariaz,아리아즈,Female,23/10/2019,Rising Star,6,6,No
ARTBEAT,아트비트,Female,16/11/2022,AB Creative,7,7,Yes
ASTRO,아스트로,Male,23/02/2016,Fantagio,4,6,Yes
ATBO,에이티비오,Male,27/07/2022,IST,7,7,Yes
ATEEZ,에이티즈,Male,24/10/2018,KQ,8,8,Yes
AWEEK,어위크,Male,31/01/2019,Illusion,7,7,Yes
B.A.P,비에이피,Male,27/01/2012,TS,6,6,No
B.Heart,비하트,Male,25/01/2017,Poong,4,4,Yes
B.I.G,비아이지,Male,09/07/2014,GH,4,5,Yes
B.O.Y,비오브유,Male,20/01/2020,Music Works,2,2,Yes
B1A4,비원에이포,Male,19/04/2010,WM,5,5,Yes
Baby V.O.X,베이비복스,Female,05/07/1997,DR Music,5,5,No
BABYMONSTER,베이비몬스터,Female,27/11/2023,YG,7,7,Yes
Badkiz,배드키즈,Female,24/03/2014,Zoo,5,5,No
BAE173,비에이이173,Male,19/11/2020,PocketDol,9,9,Yes
Be.A,비에이,Male,25/05/2017,Chrome,3,5,Yes
Beatwin,비트윈,Male,06/01/2014,Elen,2,6,Hiatus
Berry Good,베리굿,Female,21/05/2014,Asia Bridge,6,5,No
BESTie,베스티,Female,11/07/2013,YNB,4,4,No
BIGBANG,빅뱅,Male,19/08/2006,YG,4,5,Yes
Bigflo,빅플로,Male,19/07/2014,HO,5,5,Yes
BIGSTAR,빅스타,Male,12/07/2012,Brave,5,5,No
Billlie,빌리,Female,10/11/2021,MYSTIC,7,6,Yes
Black Level,블랙 레벨,Male,26/02/2022,VT,2,6,Hiatus
BLACK6IX,블랙식스,Male,07/04/2017,BLACK HOLE,6,6,Yes
BLACKPINK,블랙핑크,Female,08/08/2016,YG,4,4,Yes
BlackSwan,블랙스완,Female,16/10/2020,DR,5,5,Yes
Blady,블레이디,Female,16/05/2011,Star Planet,5,4,No
Blanc7,블랑세븐,Male,03/03/2017,Jackpot,7,7,No
BLANK2Y,블랭키,Male,24/05/2022,Keystone,9,9,Yes
Blastar,블레스타,Female,31/07/2020,VH,5,5,No
Bling Bling,블링블링,Female,17/11/2020,Major9,6,6,Yes
BLITZERS,블리처스,Male,12/05/2021,Wuzo,7,7,Yes
BLK,비엘케이,Male,28/11/2017,Byking,7,7,No
Block B,블락비,Male,15/04/2011,KQ,7,7,Yes
Bloomy,블루미,Female,01/02/2016,DS,4,4,Yes
Bob Girls,단발머리,Female,10/06/2014,Chrome,4,4,No
Bolbbalgan4,볼빨간사춘기,Female,22/04/2016,Shofar,1,2,Yes
Bonus Baby,보너스베이비,Female,01/01/2017,Maroo,6,6,No
BOTOPASS,보토패스,Female,26/08/2020,WKS ENE,8,8,Yes
Boyfriend,보이프렌드,Male,26/05/2011,Starship,6,6,No
BOYNEXTDOOR,보이넥스트도어,Male,30/05/2023,KOZ,6,6,Yes
Boys Republic,소년공화국,Male,03/06/2013,Happy Tribe| Universal,5,5,Hiatus
Brave Girls,브레이브걸스,Female,08/04/2011,Brave,4,5,Yes
Brown Eyed Girls,브라운 아이드 걸스,Female,02/03/2006,Mystic,4,4,Yes
BtoB,비투비,Male,21/03/2012,Cube,6,7,Yes
BTS,방탄소년단,Male,13/06/2013,Big Hit,7,7,Yes
bugAboo,버가부,Female,25/10/2021,A team,6,6,No
Bulldok,불독,Female,20/10/2016,Kconic,5,3,No
Busters,버스터즈,Female,27/11/2017,JTG,5,5,Yes
BVNDIT,밴디트,Female,10/04/2019,MNH,5,5,Yes
BXB,비엑스비,Male,30/01/2023,Wolfburn,5,5,Yes
BXK,비엑스케이,Male,02/11/2020,New Planet,6,6,Yes
Camila,카밀라,Female,29/08/2018,Camila,3,3,No
C-Clown,씨클라운,Male,19/06/2012,Yedang,6,6,No
Cherry Bullet,체리블렛,Female,21/01/2019,FNC,7,10,Yes
Cherry On Top,체리온탑,Female,09/08/2018,United,4,4,No
ChoColat,쇼콜라,Female,16/08/2011,Paramount,5,5,No
CICI,씨씨,Male,27/06/2019,UPVOTE,4,4,No
cignature,시그니처,Female,04/02/2020,C9,7,7,Yes
Ciipher,싸이퍼,Male,15/03/2021,Rain,7,7,Yes
CIX,씨아이엑스,Male,23/07/2019,C9,5,5,Yes
CLASS:y,클래씨,Female,05/05/2022,Universal,7,7,Yes
CLC,씨엘씨,Female,19/03/2015,Cube,5,5,Hiatus
CMDM,커맨더맨,Male,27/04/2023,Command the M,6,6,Yes
CNBLUE,씨엔블루,Male,14/01/2010,FNC,4,4,Yes
CoCoSoRi,코코소리,Female,05/01/2016,MOLE,2,2,No
CRAVITY,크래비티,Male,14/04/2020,Starship,9,9,Yes
CRAXY,크랙시,Female,03/03/2020,SAITEINMENT,5,5,Yes
Crayon Pop,크레용팝,Female,18/07/2012,Chrome,4,5,No
C-REAL,씨리얼,Female,11/10/2011,NAP,3,5,No
CROSS GENE,크로스진,Male,08/07/2012,Amuse,5,6,Yes
CSR,첫사랑,Female,27/07/2022,A2Z,7,7,Yes
D.COY,디코이,Male,19/02/2020,Rolling,5,5,Yes
D.Holic,디홀릭,Female,29/10/2014,H.Mate,4,5,No
D1CE,디원스,Male,01/08/2019,Happyface,5,5,Yes
Dal Shabet,달샤벳,Female,03/01/2011,Happy Face,4,6,Hiatus
